"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
12,"D","v03",32,947,4248,0,13719
13,"D","v03",38,2147,7881,0,20131
14,"D","v03",42,1990,3414,0,23110
15,"D","v03",43,2715,16124,0,27559
16,"D","v03",48,3731,18769,0,44762
17,"D","v03",41,1636,6870,0,21011
18,"D","v03",55,4497,7210,0,34888
19,"D","v03",26,1964,5463,0,20366
20,"D","v03",27,973,2141,0,19803
21,"D","v03",51,3648,12316,0,45627
22,"D","v03",34,2032,4214,0,17856
23,"D","v03",44,2342,13193,0,28659
24,"D","v03",53,2919,8953,0,31528
25,"D","v03",33,1951,2717,0,29274
26,"D","v03",31,3094,7818,0,25508
27,"D","v03",48,4366,9514,0,32518
28,"D","v03",24,1258,4095,0,15620
29,"D","v03",24,665,2666,0,13563
30,"D","v03",30,1096,4963,0,18415
31,"D","v03",48,2060,4974,0,18876
32,"D","v03",40,2367,7001,0,29295
33,"D","v03",45,5314,23928,0,44405
34,"D","v03",21,797,6650,0,11754
35,"D","v03",28,275,2151,0,20874
36,"D","v03",37,2869,8064,0,26018
37,"D","v03",53,2349,7147,0,25506
38,"D","v03",64,4183,13467,0,31326
39,"D","v03",85,6071,29810,0,34406
40,"D","v03",29,1631,5319,0,23544
41,"D","v03",57,2182,7694,0,21227
42,"D","v03",76,6549,13266,0,39172
43,"D","v03",64,4661,24067,0,34344
44,"D","v03",36,3174,6374,0,34764
45,"D","v03",75,6198,61830,0,39878
46,"D","v03",54,3153,12945,0,35958
47,"D","v03",70,3464,19021,0,28220
48,"D","v03",24,1411,4772,0,18454
49,"D","v03",65,3446,27914,0,27475
50,"D","v03",24,584,2793,0,13227
51,"D","v03",60,4991,7468,0,38642
52,"D","v03",60,5817,25745,0,45997
53,"D","v03",31,353,6971,0,13330
54,"D","v03",20,662,2967,0,12219
55,"D","v03",75,4337,13147,0,41559
56,"D","v03",40,4276,20337,0,35092
57,"D","v03",37,1175,2469,0,25825
58,"D","v03",39,3441,13419,0,34577
59,"D","v03",57,3895,5999,0,46557
60,"D","v03",44,1162,6737,0,17615
61,"D","v03",30,1112,3124,0,19422
62,"D","v03",43,1347,7654,0,15978
63,"D","v03",38,603,2783,0,22995
64,"D","v03",53,3240,17251,0,34060
65,"D","v03",47,2760,12739,0,30286
66,"D","v03",54,3499,10602,0,26174
67,"D","v03",17,882,344,0,19622
68,"D","v03",22,1042,2106,0,21710
69,"D","v03",54,956,6468,0,28933
70,"D","v03",33,2157,7756,0,14436
71,"D","v03",22,1261,2158,0,15469
72,"D","v03",28,931,3471,0,15567
73,"D","v03",34,4511,7330,0,40360
74,"D","v03",50,1659,7858,0,23295
75,"D","v03",43,2565,13976,0,34731
76,"D","v03",42,2280,8280,0,37632
77,"D","v03",52,4136,14521,0,37982
78,"D","v03",54,2588,6360,0,29765
79,"D","v03",66,6421,24627,0,40925
80,"D","v03",45,3640,16214,0,36984
81,"D","v03",35,2117,3857,0,31059
82,"D","v03",18,550,2152,0,20214
83,"D","v03",28,1335,1826,0,18738
84,"D","v03",38,1567,4203,0,17343
85,"D","v03",53,4864,7055,0,43713
86,"D","v03",47,1744,7035,0,24604
87,"D","v03",19,627,4453,0,18099
88,"D","v03",42,1838,6892,0,28497
89,"D","v03",91,6200,30059,0,46542
90,"D","v03",53,3029,14751,0,34774
91,"D","v03",20,830,4644,0,13167
92,"D","v03",64,7225,21794,0,51844
93,"D","v03",31,2096,2970,0,26746
94,"D","v03",51,1348,14016,0,19774
95,"D","v03",37,1179,2069,0,19160
96,"D","v03",23,913,826,0,21299
97,"D","v03",20,914,2484,0,16895
98,"D","v03",24,369,1007,0,17755
99,"D","v03",39,2579,5950,0,21740
100,"D","v03",56,3000,13920,0,21979
1,"D","v10",34,2316,8824,0,123299
2,"D","v10",35,1087,11420,0,84036
3,"D","v10",38,1893,3648,0,86117
4,"D","v10",27,2604,3307,0,112684
5,"D","v10",38,5831,32933,0,129371
6,"D","v10",33,1475,13802,0,106372
7,"D","v10",38,3760,6102,0,150223
8,"D","v10",34,2486,4545,0,126160
9,"D","v10",41,5052,4412,0,91617
10,"D","v10",41,925,1894,0,145503
11,"D","v10",24,2112,10441,0,107598
12,"D","v10",22,1058,2655,0,99639
13,"D","v10",21,777,1829,0,95563
14,"D","v10",49,5231,17994,0,156608
15,"D","v10",27,1433,1246,0,111547
16,"D","v10",49,1275,8386,0,123506
17,"D","v10",38,1395,4469,0,139995
18,"D","v10",41,3686,7989,0,167600
19,"D","v10",37,2870,12154,0,128185
20,"D","v10",22,576,3494,0,117876
21,"D","v10",39,1084,3194,0,116108
22,"D","v10",27,402,1543,0,76618
23,"D","v10",45,3534,19525,0,124922
24,"D","v10",42,1499,10923,0,118794
25,"D","v10",45,1358,8313,0,140278
26,"D","v10",28,523,2840,0,98866
27,"D","v10",25,1108,2227,0,90771
28,"D","v10",22,948,3649,0,99600
29,"D","v10",20,695,593,0,101370
30,"D","v10",55,4260,33345,0,165237
31,"D","v10",35,2812,15989,0,84546
32,"D","v10",30,1338,3888,0,72854
33,"D","v10",53,3226,12148,0,134394
34,"D","v10",65,1525,16816,0,101691
35,"D","v10",48,3234,20956,0,134044
36,"D","v10",28,2893,4492,0,128165
37,"D","v10",46,3185,13284,0,154303
38,"D","v10",34,2507,5173,0,164888
39,"D","v10",36,3492,9440,0,128848
40,"D","v10",29,2338,10766,0,117043
41,"D","v10",36,4037,7338,0,105267
42,"D","v10",24,810,10369,0,105218
43,"D","v10",48,4145,29820,0,148784
44,"D","v10",49,2701,9446,0,145051
45,"D","v10",44,3129,9087,0,153545
46,"D","v10",34,2454,16718,0,112790
47,"D","v10",20,981,2960,0,74213
48,"D","v10",35,1869,6510,0,125128
49,"D","v10",37,1705,5669,0,106003
50,"D","v10",39,1580,8597,0,107997
51,"D","v10",34,650,700,0,99998
52,"D","v10",31,1184,3549,0,101730
53,"D","v10",34,2512,8677,0,137731
54,"D","v10",29,1315,2524,0,113690
55,"D","v10",38,2720,23196,0,116000
56,"D","v10",39,5721,28393,0,158833
57,"D","v10",85,2616,13825,0,126264
58,"D","v10",34,1782,7079,0,128203
59,"D","v10",34,1440,10655,0,132955
60,"D","v10",25,644,4811,0,110747
61,"D","v10",35,888,3777,0,105600
62,"D","v10",41,1794,7811,0,144589
