"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
88,"C","rc",12,1293,1564,7888,0
89,"C","rc",25,1895,1381,7550,0
90,"C","rc",13,1386,1753,11421,0
91,"C","rc",12,1895,1564,7550,0
92,"C","rc",13,1980,1504,9853,0
93,"C","rc",12,1903,1564,8697,0
94,"C","rc",23,2289,1872,13225,0
95,"C","rc",21,1895,1381,7550,0
96,"C","rc",27,1932,2062,13504,0
97,"C","rc",45,2980,4518,16373,0
98,"C","rc",13,1988,3287,22217,0
99,"C","rc",13,2914,2926,10685,0
100,"C","rc",13,1317,1745,11112,0
1,"C","v03",23,208,170,2632,2091
2,"C","v03",246,561,1686,22796,8629
3,"C","v03",75,273,456,3467,3921
4,"C","v03",121,679,842,8771,4515
5,"C","v03",189,1096,1476,16505,6222
6,"C","v03",136,396,890,9003,6228
7,"C","v03",41,278,254,2891,3197
8,"C","v03",52,558,442,2723,3677
9,"C","v03",164,347,2221,20093,10383
10,"C","v03",224,1438,2110,20495,11997
11,"C","v03",67,658,491,3400,5617
12,"C","v03",81,285,261,4009,5156
13,"C","v03",68,430,329,6207,5425
14,"C","v03",96,208,1035,9422,10946
15,"C","v03",204,817,2225,28546,9485
16,"C","v03",132,303,641,6060,7046
17,"C","v03",54,708,287,3686,4697
18,"C","v03",45,234,262,3395,3547
19,"C","v03",81,437,800,8852,6399
20,"C","v03",75,299,563,5175,5117
21,"C","v03",139,684,1815,17496,6761
22,"C","v03",368,1274,2426,37944,17225
23,"C","v03",58,897,426,6124,4584
24,"C","v03",96,568,633,5679,5919
25,"C","v03",126,825,681,5405,7393
26,"C","v03",116,565,476,7385,4138
27,"C","v03",95,523,1033,9196,6659
28,"C","v03",48,217,275,2738,3793
29,"C","v03",111,382,458,5524,6288
30,"C","v03",63,208,307,3939,3869
31,"C","v03",138,234,412,5780,2783
32,"C","v03",229,1308,1418,16470,5835
33,"C","v03",68,955,786,5067,5827
34,"C","v03",241,298,1909,33711,6524
35,"C","v03",179,507,2106,15289,8707
36,"C","v03",90,278,382,5449,4366
37,"C","v03",58,301,540,6709,4561
38,"C","v03",93,414,453,4774,6804
39,"C","v03",189,532,2693,25011,7169
40,"C","v03",40,259,412,2743,3084
41,"C","v03",45,208,180,2425,2346
42,"C","v03",88,523,907,9399,4347
43,"C","v03",271,208,1855,23557,11904
44,"C","v03",106,523,985,10548,5455
45,"C","v03",56,998,481,4924,7056
46,"C","v03",169,387,1495,18010,9754
47,"C","v03",61,246,295,4385,3738
48,"C","v03",45,549,257,3365,3745
49,"C","v03",91,428,686,6018,7643
50,"C","v03",53,600,440,4190,6340
51,"C","v03",123,1320,1324,6962,8314
52,"C","v03",141,224,1440,15795,7436
53,"C","v03",279,440,2119,19586,9297
54,"C","v03",107,278,1193,15949,4882
55,"C","v03",303,590,3180,28640,9736
56,"C","v03",65,1300,791,5579,8029
57,"C","v03",74,523,299,2746,3395
58,"C","v03",83,208,705,6119,3897
59,"C","v03",137,303,1209,10200,5787
60,"C","v03",112,549,909,8856,4569
61,"C","v03",174,957,888,18643,6163
62,"C","v03",139,208,620,5982,4279
63,"C","v03",110,379,821,10136,5437
64,"C","v03",142,726,1315,19488,6461
65,"C","v03",87,233,498,8171,5581
66,"C","v03",42,593,304,4700,4390
67,"C","v03",350,1300,4194,42354,8687
68,"C","v03",169,234,1223,22304,6159
69,"C","v03",77,591,357,4145,4783
70,"C","v03",97,253,439,3836,4396
71,"C","v03",69,322,380,4461,3258
72,"C","v03",179,461,1568,13847,5101
73,"C","v03",227,278,1041,15402,6845
74,"C","v03",51,618,473,4467,3301
75,"C","v03",96,480,920,7679,7485
76,"C","v03",102,208,744,3541,3132
77,"C","v03",135,977,1134,14606,8772
78,"C","v03",60,353,1068,5270,5492
79,"C","v03",91,303,609,5303,5212
80,"C","v03",53,549,224,2421,2842
81,"C","v03",206,208,1775,23532,6380
82,"C","v03",244,585,2201,41891,10541
83,"C","v03",145,364,1620,14577,5651
84,"C","v03",84,694,514,6583,6030
85,"C","v03",164,243,4530,12558,8321
86,"C","v03",87,1138,465,6696,8325
87,"C","v03",115,1170,516,6453,7841
88,"C","v03",47,570,389,2513,2827
89,"C","v03",57,910,394,2756,4118
90,"C","v03",90,208,295,4341,2816
91,"C","v03",102,322,570,6714,5958
92,"C","v03",145,1366,939,6064,11206
93,"C","v03",96,592,597,4613,6867
94,"C","v03",144,419,536,5705,7790
95,"C","v03",177,345,2620,18727,6532
96,"C","v03",82,695,719,7505,5908
97,"C","v03",53,685,190,3731,4170
98,"C","v03",30,208,237,2274,2188
99,"C","v03",97,217,880,11568,4768
100,"C","v03",84,716,490,8012,5133
1,"C","v10",172,531,2040,11016,26274
2,"C","v10",73,234,534,3865,22348
3,"C","v10",90,523,467,3655,18749
4,"C","v10",26,217,329,2940,15381
5,"C","v10",270,885,7464,28881,37302
6,"C","v10",84,312,503,7449,20487
7,"C","v10",35,299,368,2522,17916
8,"C","v10",142,711,1060,14324,30068
9,"C","v10",43,285,160,2786,18004
10,"C","v10",43,368,182,2934,18729
11,"C","v10",46,245,342,4126,17598
12,"C","v10",53,208,387,2870,17229
13,"C","v10",115,311,472,8551,21019
14,"C","v10",30,208,260,3142,15873
15,"C","v10",80,208,594,5284,20801
16,"C","v10",34,208,305,3260,17487
17,"C","v10",206,618,1751,19440,26442
18,"C","v10",91,523,294,4908,20676
19,"C","v10",88,523,482,6761,17932
20,"C","v10",128,600,725,5895,24725
21,"C","v10",125,208,1118,6024,18057
22,"C","v10",428,3401,6536,38569,41372
23,"C","v10",130,635,1055,10336,24712
24,"C","v10",306,868,2263,20057,34888
25,"C","v10",45,311,333,3889,21341
26,"C","v10",305,385,4167,13182,21827
27,"C","v10",86,208,475,5372,20152
28,"C","v10",137,208,1190,9551,29874
29,"C","v10",182,645,1501,14271,21949
30,"C","v10",236,208,3356,27726,39678
31,"C","v10",61,273,147,3075,16603
32,"C","v10",83,679,534,6459,21408
33,"C","v10",175,208,2256,13716,29899
34,"C","v10",136,1140,975,15570,33191
35,"C","v10",142,208,3285,16891,30918
36,"C","v10",64,304,523,6246,20258
37,"C","v10",69,234,578,5769,18851
38,"C","v10",172,371,691,7036,24062
39,"C","v10",166,395,1253,16465,23846
40,"C","v10",37,523,281,2960,16892
41,"C","v10",140,523,703,7697,21138
42,"C","v10",29,242,383,2673,18564
43,"C","v10",75,208,772,5862,21451
44,"C","v10",83,523,589,6608,21220
45,"C","v10",67,601,734,4415,17930
46,"C","v10",56,330,545,3642,19253
47,"C","v10",246,551,3729,25487,31965
48,"C","v10",163,285,2541,18900,32118
49,"C","v10",147,355,945,10494,23457
50,"C","v10",127,208,2480,16145,28427
51,"C","v10",34,535,193,3400,16895
52,"C","v10",58,549,423,3657,18076
53,"C","v10",101,381,684,9521,21166
54,"C","v10",164,208,853,17768,22319
55,"C","v10",106,243,250,5259,18007
56,"C","v10",35,278,364,2456,18295
57,"C","v10",66,297,549,4543,18965
58,"C","v10",41,246,206,3016,16118
59,"C","v10",121,700,1528,8218,24333
60,"C","v10",56,208,200,3115,17027
61,"C","v10",111,604,1413,8754,21869
62,"C","v10",34,588,186,3635,16736
63,"C","v10",260,464,2489,19838,22305
64,"C","v10",36,258,379,2706,18484
65,"C","v10",103,806,2072,10671,28608
66,"C","v10",65,855,689,4541,23866
67,"C","v10",76,234,585,5576,21585
68,"C","v10",86,336,597,5081,22347
69,"C","v10",97,596,1235,5757,24559
70,"C","v10",119,216,1102,15905,24139
71,"C","v10",134,287,354,9133,23872
72,"C","v10",87,885,1011,7278,23348
73,"C","v10",198,557,2159,18856,28699
74,"C","v10",123,259,1145,12025,23476
75,"C","v10",199,687,3183,23555,24452
76,"C","v10",77,380,800,6276,22131
77,"C","v10",78,208,662,6510,21196
78,"C","v10",54,208,296,3386,19470
79,"C","v10",151,318,1580,12042,29353
80,"C","v10",125,302,656,10859,19723
81,"C","v10",83,389,729,5146,20834
82,"C","v10",74,208,528,3825,19310
83,"C","v10",243,565,1385,17675,26030
84,"C","v10",147,208,2088,13940,30320
85,"C","v10",279,548,2524,24752,29935
86,"C","v10",163,233,1224,8839,26686
87,"C","v10",105,609,508,6468,24361
88,"C","v10",74,659,825,3181,23789
89,"C","v10",106,273,580,8348,23269
90,"C","v10",82,663,872,8474,32028
91,"C","v10",78,261,595,5811,20246
92,"C","v10",93,285,773,7274,23800
93,"C","v10",81,245,598,4397,22750
94,"C","v10",79,208,297,4268,22730
95,"C","v10",162,441,1676,19792,23471
96,"C","v10",29,535,236,2429,16250
97,"C","v10",71,208,520,4349,17383
98,"C","v10",127,285,553,7057,19552
99,"C","v10",49,306,470,2313,17999
100,"C","v10",62,535,512,5236,38843
