"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
20,"E","v10",51,1963,9104,0,71654
21,"E","v10",50,2487,12156,0,91285
22,"E","v10",93,4281,27667,0,155101
23,"E","v10",132,7584,37930,0,199642
24,"E","v10",35,2285,9930,0,81207
25,"E","v10",41,2340,9358,0,85166
26,"E","v10",76,4550,18017,0,102070
27,"E","v10",74,2234,15948,0,107581
28,"E","v10",28,1655,7437,0,54931
29,"E","v10",34,3152,11772,0,128944
30,"E","v10",86,4790,19012,0,180609
31,"E","v10",36,1888,9278,0,57653
32,"E","v10",103,3619,20729,0,154910
33,"E","v10",32,2414,9869,0,88922
34,"E","v10",54,2311,9235,0,61721
35,"E","v10",71,2207,13842,0,91421
36,"E","v10",28,2092,7545,0,77790
37,"E","v10",54,3562,18699,0,111835
38,"E","v10",61,3827,11933,0,131700
39,"E","v10",97,2445,13602,0,131125
40,"E","v10",28,1563,7733,0,50989
41,"E","v10",78,2605,13143,0,119296
42,"E","v10",53,3294,10272,0,125573
43,"E","v10",84,2220,9371,0,55161
44,"E","v10",115,5452,22352,0,169900
45,"E","v10",40,2529,9353,0,94459
46,"E","v10",44,2298,10076,0,72919
47,"E","v10",78,4397,27214,0,162968
48,"E","v10",143,6752,48156,0,193871
49,"E","v10",75,4199,13655,0,141975
50,"E","v10",114,3996,15678,0,177748
51,"E","v10",145,4128,20899,0,137946
52,"E","v10",86,2730,13142,0,125679
53,"E","v10",51,3060,10089,0,110021
54,"E","v10",69,2947,15254,0,149405
55,"E","v10",106,6258,40384,0,151494
56,"E","v10",35,2590,10324,0,89122
57,"E","v10",60,2447,10863,0,103229
58,"E","v10",29,1954,8071,0,78627
59,"E","v10",79,3958,18746,0,159095
60,"E","v10",66,3599,12447,0,147466
61,"E","v10",49,2540,9028,0,57408
62,"E","v10",50,2239,10173,0,81384
63,"E","v10",78,2488,12812,0,105852
64,"E","v10",30,2518,9550,0,75722
65,"E","v10",42,1999,9264,0,44995
66,"E","v10",103,6026,24145,0,146755
67,"E","v10",111,4608,30737,0,162481
68,"E","v10",68,2947,11717,0,86377
69,"E","v10",95,7459,33120,0,211520
70,"E","v10",92,3614,13365,0,136951
71,"E","v10",33,1860,8552,0,53133
72,"E","v10",59,4691,22580,0,157450
73,"E","v10",83,3102,15324,0,123629
74,"E","v10",43,2030,9163,0,59298
75,"E","v10",72,5347,26835,0,176760
76,"E","v10",44,1903,9847,0,91731
77,"E","v10",63,2653,11451,0,66210
78,"E","v10",41,1819,8274,0,68906
79,"E","v10",82,2570,20393,0,110732
80,"E","v10",50,2225,10707,0,81836
81,"E","v10",67,2743,10610,0,125992
82,"E","v10",83,5498,19020,0,145698
83,"E","v10",34,2583,8777,0,89765
84,"E","v10",64,2055,10447,0,46535
85,"E","v10",69,4025,18710,0,113923
86,"E","v10",67,3706,15521,0,120211
87,"E","v10",37,3004,10448,0,98547
88,"E","v10",27,2324,9894,0,56717
89,"E","v10",138,4988,19527,0,144445
90,"E","v10",38,1494,6989,0,60757
91,"E","v10",61,2950,15008,0,134021
92,"E","v10",37,2018,9299,0,99221
93,"E","v10",79,2018,9912,0,87086
94,"E","v10",84,3526,16378,0,131385
95,"E","v10",39,2020,9981,0,73129
96,"E","v10",71,2941,14541,0,110256
97,"E","v10",31,1778,8596,0,48500
98,"E","v10",67,3476,13250,0,127495
99,"E","v10",71,4594,18328,0,122317
100,"E","v10",72,3270,10676,0,82169
